lex,lhx,lnx,lfx,ltx,lmx,lud,lup,lld,llp,rex,rhx,rnx,rfx,rtx,rmx,rud,rup,rld,rlp,brx,fax,oax,qcx
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,3,3,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,,3,3,4,4,4,,4,4,,4,,4,4,4,,,,
4,,4,4,,,3,3,4,4,4,,4,4,,4,,4,4,4,,,,
4,,4,4,,,3,3,4,4,4,,4,4,,4,,4,4,4,,,,
,,4,4,,,3,3,4,4,,,4,4,,4,,4,4,4,,,,
,,4,4,,,3,3,4,4,,,4,4,,4,,4,4,4,,,,
4,,4,4,,,3,3,4,4,4,,4,4,,4,,4,4,4,,,,
4,,4,4,,,3,3,4,4,4,,4,4,,4,,4,4,4,,,,
4,,4,4,,,3,3,4,4,4,,4,4,,4,,4,4,4,,,,
4,,4,4,,,,,4,4,4,,4,4,,4,,4,4,4,,,,
4,,4,4,,,,,4,4,4,,4,4,,4,,4,4,4,,,,
4,,4,4,,,,,4,4,4,,4,4,,4,,4,4,4,,,,
4,,4,4,,,,,4,4,4,,4,4,,4,,4,4,4,,,,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,,,,4,4,4,,4,4,,,,4,4,4,,,,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
4,,4,4,,4,,,4,4,4,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,
,,4,4,,4,,,4,4,,,4,4,,4,,4,4,4,,,4,